library	Blue_Macia	Cyan_IS12646	Gold_RTx430	Green_Ajabsido	Orange_MotaMaradi	Purple_SRN39	max_allele	max_value	Genotype_sum
IQTE	0.9868345735546652	0.0	0.0	0.01106659034535394	0.0020988360999809196	0.0	Blue	0.9868345735546652	5241
IQTF	0.9739688979039892	0.005578093306288032	0.0	0.019438810006761325	0.0010141987829614604	0.0	Blue	0.9739688979039892	5916
IQTG	0.950381679389313	0.0	0.0	0.0	0.04961832061068702	0.0	Blue	0.950381679389313	262
IQTH	0.24543017304411407	0.0	0.0	0.596636607360468	0.15793321959541798	0.0	Green	0.596636607360468	4103
IQTI	0.3534935100800884	0.029135597901132283	0.0	0.41024578845622756	0.2071251035625518	0.0	Green	0.41024578845622756	7242
IQTJ	0.06839622641509434	0.0	0.0	0.7007075471698113	0.23089622641509433	0.0	Green	0.7007075471698113	4240
IQTK	0.7095790115924344	0.06436851738865161	0.0	0.0350823672971324	0.19097010372178158	0.0	Blue	0.7095790115924344	3278
IQTL	0.9985643970467596	0.00041017227235438887	0.0	0.001025430680885972	0.0	0.0	Blue	0.9985643970467596	4876
IQTM	0.9836888331242158	0.0	0.0	0.01631116687578419	0.0	0.0	Blue	0.9836888331242158	797
IQTN	0.9939372943010566	0.0	0.0	0.004330504070673827	0.0	0.0017322016282695306	Blue	0.9939372943010566	5773
IQTP	0.9796521739130435	0.0	0.0	0.009565217391304347	0.010782608695652174	0.0	Blue	0.9796521739130435	5750
IQTQ	0.9996497373029772	0.00017513134851138354	0.0	0.00017513134851138354	0.0	0.0	Blue	0.9996497373029772	5710
IQTR	0.9800372187447133	0.0	0.0	0.009981390627643376	0.009981390627643376	0.0	Blue	0.9800372187447133	5911
IQTS	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	505
IQTT	0.9803974952355023	0.0	0.0	0.018513476722025593	0.0010890280424720937	0.0	Blue	0.9803974952355023	3673
IQTU	0.9618473895582329	0.0	0.0	0.03815261044176707	0.0	0.0	Blue	0.9618473895582329	498
IQTW	0.9780512138343864	0.0	0.0	0.018623212504156966	0.0033255736614566014	0.0	Blue	0.9780512138343864	6014
IQTY	0.9735304228257133	0.00017188037126160193	0.0	0.01873496046751461	0.007390855964248883	0.00017188037126160193	Blue	0.9735304228257133	5818
IQTZ	0.9936908517350158	0.0	0.0	0.006309148264984227	0.0	0.0	Blue	0.9936908517350158	5706
IQUA	0.9676823638042474	0.0	0.0	0.029547553093259463	0.002770083102493075	0.0	Blue	0.9676823638042474	1083
IQUC	0.4248927038626609	0.0	0.34334763948497854	0.2317596566523605	0.0	0.0	Blue	0.4248927038626609	233
IQUD	0.9908054431776389	0.0	0.0	0.0	0.009194556822361161	0.0	Blue	0.9908054431776389	5438
IQUE	0.9881956155143339	0.0	0.0	0.001854974704890388	0.009949409780775716	0.0	Blue	0.9881956155143339	5930
IQUF	0.3261205564142195	0.0	0.0	0.0077279752704791345	0.6661514683153014	0.0	Orange	0.6661514683153014	647
IQUG	0.9980071741729772	0.0	0.0	0.0019928258270227183	0.0	0.0	Blue	0.9980071741729772	2509
IQUI	0.0	0.0	0.0	0.003746721618583739	0.9962532783814163	0.0	Orange	0.9962532783814163	2669
IQUK	0.0	0.0	0.0	0.3005181347150259	0.29533678756476683	0.40414507772020725	Purple	0.40414507772020725	193
IQUL	0.25883984284723827	0.08366073492026808	0.0	0.629304367922348	0.028195054310145597	0.0	Green	0.629304367922348	4327
IQUM	0.98144229203972	0.0	0.0	0.006348689565358945	0.012209018394921048	0.0	Blue	0.98144229203972	6143
IQUQ	0.6028431808085295	0.0	0.0	0.13371834740115504	0.26254997778764994	0.000888494002665482	Blue	0.6028431808085295	2251
IQUR	0.980349344978166	0.0	0.0	0.010189228529839884	0.009461426491994178	0.0	Blue	0.980349344978166	1374
IQUS	0.9966171772223267	0.0	0.0	0.0030069535801541063	0.0003758691975192633	0.0	Blue	0.9966171772223267	5321
IQUT	0.7622107969151671	0.0	0.0	0.07840616966580977	0.15938303341902313	0.0	Blue	0.7622107969151671	3112
IQUU	0.9758551307847082	0.0	0.0	0.0	0.022132796780684104	0.002012072434607646	Blue	0.9758551307847082	994
IQUW	0.9911504424778761	0.0012642225031605564	0.0	0.0037926675094816687	0.0	0.0037926675094816687	Blue	0.9911504424778761	791
IQUX	0.9568434032059187	0.0	0.0	0.0036991368680641184	0.03945745992601726	0.0	Blue	0.9568434032059187	811
IQUZ	0.9488529522376833	0.0	0.0	0.0	0.05114704776231666	0.0	Blue	0.9488529522376833	5318
IQWA	0.6237623762376238	0.0	0.0	0.36447122973166884	0.011766394030707419	0.0	Blue	0.6237623762376238	6969
IQWB	0.5859695131945583	0.0	0.0	0.4069824618914932	0.007048024913948533	0.0	Blue	0.5859695131945583	6101
ISGC	0.8454231433506045	0.1411917098445596	0.0	0.013385146804835924	0.0	0.0	Blue	0.8454231433506045	2316
ISGD	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	2873
ISGE	0.0	0.0	1.0	0.0	0.0	0.0	Gold	1.0	80
ISGF	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	1268
ISGG	1.0	0.0	0.0	0.0	0.0	0.0	Blue	1.0	584
